player_id	daily_recharge	platform_profit	loss_percentage	offer_tier
90181130	1200.00	1235.58	102.97	500-1999 (25% cashback)
14235471	1154.00	1122.00	97.23	500-1999 (25% cashback)
63481905	1150.00	1402.42	121.95	500-1999 (25% cashback)
72442672	1150.00	1208.50	105.09	500-1999 (25% cashback)
99774925	1150.00	1243.24	108.11	500-1999 (25% cashback)
15860788	1100.00	1407.48	127.95	500-1999 (25% cashback)
22161457	1100.00	1179.40	107.22	500-1999 (25% cashback)
28202302	1100.00	1170.37	106.40	500-1999 (25% cashback)
29188517	1100.00	1152.16	104.74	500-1999 (25% cashback)
40679812	1100.00	1142.00	103.82	500-1999 (25% cashback)
44437242	1100.00	1169.00	106.27	500-1999 (25% cashback)
46174086	1100.00	1130.40	102.76	500-1999 (25% cashback)
53140296	1100.00	1289.00	117.18	500-1999 (25% cashback)
55615381	1100.00	1593.74	144.89	500-1999 (25% cashback)
56827961	1100.00	1153.00	104.82	500-1999 (25% cashback)
64492010	1100.00	1158.22	105.29	500-1999 (25% cashback)
88450838	1100.00	1327.29	120.66	500-1999 (25% cashback)
57948240	1062.00	1365.10	128.54	500-1999 (25% cashback)
23835777	1026.00	1073.36	104.62	500-1999 (25% cashback)
83389601	1008.00	1305.22	129.49	500-1999 (25% cashback)
10885814	1000.00	1045.70	104.57	500-1999 (25% cashback)
11546406	1000.00	1035.20	103.52	500-1999 (25% cashback)
12331336	1000.00	1059.80	105.98	500-1999 (25% cashback)
12406329	1000.00	1036.41	103.64	500-1999 (25% cashback)
12564362	1000.00	1205.90	120.59	500-1999 (25% cashback)
12647936	1000.00	1060.00	106.00	500-1999 (25% cashback)
12769377	1000.00	1050.00	105.00	500-1999 (25% cashback)
13617268	1000.00	1195.30	119.53	500-1999 (25% cashback)
13864425	1000.00	1114.00	111.40	500-1999 (25% cashback)
14604830	1000.00	1096.64	109.66	500-1999 (25% cashback)
15168691	1000.00	1066.64	106.66	500-1999 (25% cashback)
15958769	1000.00	1112.77	111.28	500-1999 (25% cashback)
16159843	1000.00	1050.20	105.02	500-1999 (25% cashback)
16342177	1000.00	1030.60	103.06	500-1999 (25% cashback)
16630828	1000.00	1812.47	181.25	500-1999 (25% cashback)
18232959	1000.00	1287.19	128.72	500-1999 (25% cashback)
