player_id	total_recharge	total_withdraw	net_loss	loss_percent	recharge_tier
90451454	9900.00	0.00	9900.00	100.0	3500+
31035793	9800.00	0.00	9800.00	100.0	3500+
92434791	9799.00	400.00	9399.00	95.9	3500+
26166522	9750.00	0.00	9750.00	100.0	3500+
66973193	9700.00	0.00	9700.00	100.0	3500+
70145572	9700.00	0.00	9700.00	100.0	3500+
35108435	9600.00	0.00	9600.00	100.0	3500+
88564257	9600.00	0.00	9600.00	100.0	3500+
83065791	9500.00	0.00	9500.00	100.0	3500+
55227939	9500.00	0.00	9500.00	100.0	3500+
75460018	9400.00	400.00	9000.00	95.7	3500+
90555469	9300.00	200.00	9100.00	97.8	3500+
28645174	9300.00	0.00	9300.00	100.0	3500+
63100357	9300.00	0.00	9300.00	100.0	3500+
89540351	9200.00	0.00	9200.00	100.0	3500+
73914706	9200.00	0.00	9200.00	100.0	3500+
13741691	9200.00	0.00	9200.00	100.0	3500+
58695755	9150.00	0.00	9150.00	100.0	3500+
76775245	9140.00	0.00	9140.00	100.0	3500+
80379870	9100.00	0.00	9100.00	100.0	3500+
23911816	9100.00	0.00	9100.00	100.0	3500+
1571	9003.00	0.00	9003.00	100.0	3500+
12206091	9000.00	0.00	9000.00	100.0	3500+
69298670	9000.00	0.00	9000.00	100.0	3500+
70547221	9000.00	0.00	9000.00	100.0	3500+
86709503	9000.00	0.00	9000.00	100.0	3500+
94424795	9000.00	0.00	9000.00	100.0	3500+
99803754	9000.00	0.00	9000.00	100.0	3500+
35028912	9000.00	0.00	9000.00	100.0	3500+
36045213	9000.00	0.00	9000.00	100.0	3500+
55460789	9000.00	0.00	9000.00	100.0	3500+
49846412	8890.00	0.00	8890.00	100.0	3500+
64269001	8800.00	0.00	8800.00	100.0	3500+
20054866	8800.00	0.00	8800.00	100.0	3500+
18058646	8700.00	0.00	8700.00	100.0	3500+
11307625	8600.00	0.00	8600.00	100.0	3500+
12977625	8600.00	0.00	8600.00	100.0	3500+
90971139	8600.00	0.00	8600.00	100.0	3500+
72689612	8600.00	0.00	8600.00	100.0	3500+
98205264	8500.00	0.00	8500.00	100.0	3500+
10508996	8500.00	0.00	8500.00	100.0	3500+
21966599	8500.00	500.00	8000.00	94.1	3500+
45138196	8500.00	670.00	7830.00	92.1	3500+
32337926	8400.00	0.00	8400.00	100.0	3500+
96531413	8350.00	0.00	8350.00	100.0	3500+
72462920	8340.00	0.00	8340.00	100.0	3500+
35901813	8320.00	0.00	8320.00	100.0	3500+
88524778	8300.00	0.00	8300.00	100.0	3500+
12769377	8300.00	0.00	8300.00	100.0	3500+
45850850	8260.00	800.00	7460.00	90.3	3500+
52887000	8200.00	0.00	8200.00	100.0	3500+
77801579	8200.00	0.00	8200.00	100.0	3500+
73923161	8100.00	0.00	8100.00	100.0	3500+
63636064	8100.00	500.00	7600.00	93.8	3500+
24897563	8100.00	0.00	8100.00	100.0	3500+
71101264	8070.00	0.00	8070.00	100.0	3500+
76238338	8000.00	0.00	8000.00	100.0	3500+
28700649	8000.00	0.00	8000.00	100.0	3500+
68816738	8000.00	0.00	8000.00	100.0	3500+
43301766	8000.00	0.00	8000.00	100.0	3500+
48421795	8000.00	0.00	8000.00	100.0	3500+
51519211	7900.00	0.00	7900.00	100.0	3500+
76619001	7900.00	0.00	7900.00	100.0	3500+
59965107	7800.00	0.00	7800.00	100.0	3500+
41881319	7800.00	0.00	7800.00	100.0	3500+
19435931	7800.00	0.00	7800.00	100.0	3500+
90125196	7800.00	0.00	7800.00	100.0	3500+
23010937	7790.00	0.00	7790.00	100.0	3500+
74084839	7710.00	0.00	7710.00	100.0	3500+
75039678	7701.00	0.00	7701.00	100.0	3500+
17889439	7700.00	0.00	7700.00	100.0	3500+
65990380	7700.00	0.00	7700.00	100.0	3500+
91555296	7602.00	0.00	7602.00	100.0	3500+
14313155	7600.00	0.00	7600.00	100.0	3500+
17767750	7600.00	401.00	7199.00	94.7	3500+
49642858	7600.00	0.00	7600.00	100.0	3500+
46442883	7590.00	0.00	7590.00	100.0	3500+
51808969	7500.00	0.00	7500.00	100.0	3500+
71740466	7500.00	0.00	7500.00	100.0	3500+
79932027	7500.00	400.00	7100.00	94.7	3500+
1625	7500.00	0.00	7500.00	100.0	3500+
15502803	7500.00	0.00	7500.00	100.0	3500+
18750675	7500.00	0.00	7500.00	100.0	3500+
21476289	7500.00	0.00	7500.00	100.0	3500+
27449203	7500.00	0.00	7500.00	100.0	3500+
96378119	7425.00	0.00	7425.00	100.0	3500+
25393933	7400.00	0.00	7400.00	100.0	3500+
56471214	7400.00	0.00	7400.00	100.0	3500+
74506156	7400.00	0.00	7400.00	100.0	3500+
77573209	7300.00	0.00	7300.00	100.0	3500+
22758556	7300.00	0.00	7300.00	100.0	3500+
59130393	7300.00	0.00	7300.00	100.0	3500+
71582232	7244.00	302.00	6942.00	95.8	3500+
40864260	7200.00	0.00	7200.00	100.0	3500+
44079498	7100.00	0.00	7100.00	100.0	3500+
80528823	7100.00	0.00	7100.00	100.0	3500+
65628311	7100.00	0.00	7100.00	100.0	3500+
20407895	7100.00	500.00	6600.00	93.0	3500+
16566789	7000.00	500.00	6500.00	92.9	3500+
20047041	7000.00	0.00	7000.00	100.0	3500+
24375177	7000.00	0.00	7000.00	100.0	3500+
75058564	7000.00	0.00	7000.00	100.0	3500+
85712778	7000.00	0.00	7000.00	100.0	3500+
99361260	7000.00	0.00	7000.00	100.0	3500+
43145864	7000.00	0.00	7000.00	100.0	3500+
53877785	7000.00	0.00	7000.00	100.0	3500+
55859775	7000.00	0.00	7000.00	100.0	3500+
12331483	6900.00	0.00	6900.00	100.0	3500+
29303040	6900.00	0.00	6900.00	100.0	3500+
79927926	6900.00	0.00	6900.00	100.0	3500+
30760246	6900.00	0.00	6900.00	100.0	3500+
34862522	6900.00	631.00	6269.00	90.9	3500+
38567536	6900.00	0.00	6900.00	100.0	3500+
42189615	6900.00	0.00	6900.00	100.0	3500+
92560212	6800.00	0.00	6800.00	100.0	3500+
61590011	6800.00	0.00	6800.00	100.0	3500+
28362461	6766.00	0.00	6766.00	100.0	3500+
91814977	6712.00	0.00	6712.00	100.0	3500+
49198934	6700.00	0.00	6700.00	100.0	3500+
28873028	6675.00	0.00	6675.00	100.0	3500+
32271410	6670.00	0.00	6670.00	100.0	3500+
42716417	6650.00	0.00	6650.00	100.0	3500+
14963701	6600.00	0.00	6600.00	100.0	3500+
33500824	6575.00	0.00	6575.00	100.0	3500+
37775010	6530.00	0.00	6530.00	100.0	3500+
38993850	6500.00	0.00	6500.00	100.0	3500+
11434564	6500.00	0.00	6500.00	100.0	3500+
20547299	6500.00	0.00	6500.00	100.0	3500+
22317635	6500.00	0.00	6500.00	100.0	3500+
27768293	6500.00	0.00	6500.00	100.0	3500+
95397430	6500.00	0.00	6500.00	100.0	3500+
72406096	6500.00	0.00	6500.00	100.0	3500+
73110893	6500.00	0.00	6500.00	100.0	3500+
87517415	6500.00	0.00	6500.00	100.0	3500+
17009274	6450.00	0.00	6450.00	100.0	3500+
47256279	6400.00	500.00	5900.00	92.2	3500+
58670358	6400.00	0.00	6400.00	100.0	3500+
67703931	6400.00	0.00	6400.00	100.0	3500+
68850055	6400.00	0.00	6400.00	100.0	3500+
60896374	6350.00	0.00	6350.00	100.0	3500+
39115869	6350.00	0.00	6350.00	100.0	3500+
57733169	6300.00	0.00	6300.00	100.0	3500+
70465707	6300.00	0.00	6300.00	100.0	3500+
83798285	6300.00	0.00	6300.00	100.0	3500+
91336003	6300.00	0.00	6300.00	100.0	3500+
71547252	6210.00	380.00	5830.00	93.9	3500+
70528691	6200.00	0.00	6200.00	100.0	3500+
82521234	6200.00	0.00	6200.00	100.0	3500+
68218942	6200.00	0.00	6200.00	100.0	3500+
48688561	6200.00	0.00	6200.00	100.0	3500+
18859970	6200.00	0.00	6200.00	100.0	3500+
92771973	6200.00	0.00	6200.00	100.0	3500+
55887891	6180.00	600.00	5580.00	90.3	3500+
81029147	6128.00	0.00	6128.00	100.0	3500+
83648406	6100.00	0.00	6100.00	100.0	3500+
50183000	6100.00	0.00	6100.00	100.0	3500+
97628726	6100.00	0.00	6100.00	100.0	3500+
46378459	6100.00	0.00	6100.00	100.0	3500+
18067239	6100.00	0.00	6100.00	100.0	3500+
57948240	6062.00	0.00	6062.00	100.0	3500+
87516246	6009.00	0.00	6009.00	100.0	3500+
