player_id	fail_count	max_fail_amount	min_fail_amount
36319130	2	200.00	200.00
36712944	5	200.00	200.00
37361349	2	200.00	200.00
37801044	4	200.00	100.00
38508927	6	200.00	186.00
39246875	2	200.00	100.00
41115474	3	200.00	100.00
42062959	5	200.00	100.00
43024999	6	200.00	100.00
43338308	5	200.00	200.00
44192509	3	200.00	100.00
45085166	2	200.00	200.00
45164517	2	200.00	100.00
47685661	4	200.00	100.00
50133119	14	200.00	100.00
52493603	4	200.00	200.00
55355598	2	200.00	200.00
56411354	2	200.00	200.00
57785645	3	200.00	100.00
58334768	4	200.00	100.00
58962215	6	200.00	100.00
63779791	3	200.00	200.00
64788884	2	200.00	200.00
65735685	3	200.00	200.00
66959445	2	200.00	200.00
67798036	5	200.00	100.00
72779606	2	200.00	200.00
73403059	4	200.00	200.00
73680014	4	200.00	200.00
75688329	6	200.00	100.00
76907719	2	200.00	100.00
78007007	2	200.00	100.00
78650741	4	200.00	100.00
78669261	2	200.00	100.00
80368587	10	200.00	100.00
81181591	4	200.00	100.00
81965464	9	200.00	100.00
82392530	4	200.00	100.00
86363634	3	200.00	100.00
86403355	4	200.00	200.00
87184121	5	200.00	200.00
88011428	2	200.00	200.00
88532032	3	200.00	200.00
89006657	6	200.00	100.00
92551455	7	200.00	100.00
56136081	4	150.00	150.00
68977064	2	130.00	127.00
68771126	2	121.00	120.00
28789728	2	120.00	120.00
42770225	7	120.00	100.00
68882048	3	120.00	100.00
74207277	2	105.00	100.00
20200251	4	102.00	100.00
38842084	3	101.00	100.00
10017381	3	100.00	100.00
10496561	3	100.00	100.00
11387000	2	100.00	100.00
11991563	2	100.00	100.00
12868695	10	100.00	100.00
13219208	2	100.00	100.00
13780245	2	100.00	100.00
16726341	3	100.00	100.00
18625176	4	100.00	100.00
18794894	4	100.00	100.00
18988887	10	100.00	100.00
18997060	2	100.00	100.00
19087029	3	100.00	100.00
19635883	5	100.00	100.00
19811735	4	100.00	100.00
21843679	3	100.00	100.00
23506318	2	100.00	100.00
23627919	3	100.00	100.00
25740590	12	100.00	100.00
25754574	3	100.00	100.00
25978242	6	100.00	100.00
26497119	6	100.00	100.00
26802659	4	100.00	100.00
27210152	4	100.00	100.00
28824921	4	100.00	100.00
28997092	2	100.00	100.00
32164683	2	100.00	100.00
32329922	4	100.00	100.00
32389935	2	100.00	100.00
32785805	2	100.00	100.00
33022321	2	100.00	100.00
33897804	4	100.00	100.00
34146244	5	100.00	100.00
34307978	7	100.00	100.00
34543410	2	100.00	100.00
34610256	3	100.00	100.00
35439715	2	100.00	100.00
38080335	4	100.00	100.00
38363673	3	100.00	100.00
38380826	2	100.00	100.00
39715272	2	100.00	100.00
40530556	3	100.00	100.00
41742240	2	100.00	100.00
43312180	4	100.00	100.00
