player_id	first_deposit_amount	day_profit	profit_status	amount_tier
15222136	500.00	398.64	盈利	500-999
88035122	500.00	630.14	盈利	500-999
88630274	500.00	-9320.95	虧損	500-999
69903883	500.00	1787.00	盈利	500-999
21470962	500.00	-3985.00	虧損	500-999
81324205	500.00	740.96	盈利	500-999
14747239	500.00	607.80	盈利	500-999
78113055	500.00	-768.60	虧損	500-999
25152205	500.00	594.43	盈利	500-999
20514784	500.00	610.66	盈利	500-999
41630142	500.00	606.50	盈利	500-999
27273509	500.00	630.00	盈利	500-999
37633675	500.00	675.69	盈利	500-999
35237549	500.00	371.45	盈利	500-999
12171928	500.00	-222.80	虧損	500-999
17930089	500.00	676.01	盈利	500-999
41673612	500.00	-95.72	虧損	500-999
69214706	500.00	485.78	盈利	500-999
55033486	500.00	163.68	盈利	500-999
12027518	500.00	452.45	盈利	500-999
77614451	500.00	593.00	盈利	500-999
21165000	500.00	-267.84	虧損	500-999
70461545	500.00	1767.70	盈利	500-999
39523486	500.00	1114.60	盈利	500-999
61329201	500.00	269.20	盈利	500-999
86289214	500.00	1184.00	盈利	500-999
16396837	500.00	368.20	盈利	500-999
20931483	500.00	-218.50	虧損	500-999
20105086	500.00	611.50	盈利	500-999
14133012	500.00	607.32	盈利	500-999
72563939	500.00	809.71	盈利	500-999
42269348	500.00	590.00	盈利	500-999
75537326	500.00	-219.32	虧損	500-999
22862974	500.00	-230.56	虧損	500-999
80232371	500.00	-310.40	虧損	500-999
79217340	500.00	569.05	盈利	500-999
10171441	500.00	591.60	盈利	500-999
43689724	500.00	596.60	盈利	500-999
61723098	500.00	-199.50	虧損	500-999
59276063	500.00	-394.28	虧損	500-999
35619003	500.00	511.86	盈利	500-999
65713355	500.00	592.56	盈利	500-999
39523486	500.00	1114.60	盈利	500-999
81735150	500.00	1186.00	盈利	500-999
93213111	500.00	38.73	盈利	500-999
59276063	500.00	-394.28	虧損	500-999
24364452	500.00	91.80	盈利	500-999
39907021	500.00	554.32	盈利	500-999
16191680	500.00	-956.95	虧損	500-999
74431738	500.00	2809.00	盈利	500-999
32045363	500.00	823.62	盈利	500-999
16191680	500.00	-956.95	虧損	500-999
43001015	500.00	594.80	盈利	500-999
40867433	500.00	1472.80	盈利	500-999
38597305	500.00	-654.60	虧損	500-999
36674958	500.00	594.10	盈利	500-999
84675379	500.00	607.60	盈利	500-999
60128577	500.00	-215.90	虧損	500-999
27243222	500.00	-351.30	虧損	500-999
88755649	500.00	-419.13	虧損	500-999
84461811	500.00	609.48	盈利	500-999
61924625	500.00	-361.11	虧損	500-999
40828895	500.00	1790.63	盈利	500-999
32885519	500.00	858.70	盈利	500-999
37086326	500.00	945.20	盈利	500-999
40828895	500.00	1790.63	盈利	500-999
78365463	500.00	738.40	盈利	500-999
99258307	500.00	-539.32	虧損	500-999
41568487	500.00	673.55	盈利	500-999
44790234	500.00	610.80	盈利	500-999
75367697	500.00	590.00	盈利	500-999
38220847	500.00	227.68	盈利	500-999
90754612	500.00	-2354.76	虧損	500-999
93699088	500.00	607.02	盈利	500-999
20855344	500.00	597.34	盈利	500-999
96662156	500.00	-1872.68	虧損	500-999
51021034	500.00	633.85	盈利	500-999
84627864	500.00	1158.00	盈利	500-999
37766856	500.00	658.27	盈利	500-999
52463974	500.00	-18.04	虧損	500-999
32546648	500.00	-25.62	虧損	500-999
76569980	500.00	-174.40	虧損	500-999
84627864	500.00	1158.00	盈利	500-999
20331091	500.00	596.00	盈利	500-999
38117793	500.00	531.00	盈利	500-999
82075710	500.00	685.90	盈利	500-999
53881327	500.00	607.70	盈利	500-999
84148729	500.00	-3362.00	虧損	500-999
84434276	500.00	11.44	盈利	500-999
89055839	500.00	1093.25	盈利	500-999
98078546	500.00	-248.06	虧損	500-999
19409194	500.00	-83.58	虧損	500-999
87071542	500.00	591.76	盈利	500-999
69631331	500.00	103.50	盈利	500-999
12959496	500.00	61.60	盈利	500-999
77676246	500.00	12.85	盈利	500-999
40598758	500.00	-460.94	虧損	500-999
73334274	500.00	583.60	盈利	500-999
15654978	500.00	594.00	盈利	500-999
82846828	500.00	600.40	盈利	500-999
37515344	500.00	-1360.45	虧損	500-999
90588207	500.00	653.60	盈利	500-999
61421174	500.00	599.88	盈利	500-999
81709011	500.00	597.99	盈利	500-999
88524472	500.00	-214.30	虧損	500-999
72660668	500.00	134.20	盈利	500-999
67801670	500.00	-2783.80	虧損	500-999
35212271	500.00	-508.80	虧損	500-999
98908632	500.00	870.15	盈利	500-999
94759244	500.00	-1531.74	虧損	500-999
31072415	500.00	1014.95	盈利	500-999
41923335	500.00	1904.12	盈利	500-999
60688397	500.00	-261.90	虧損	500-999
27710005	500.00	-98.10	虧損	500-999
40828895	500.00	1790.63	盈利	500-999
31300585	500.00	608.40	盈利	500-999
51722674	500.00	587.60	盈利	500-999
67506726	500.00	1062.45	盈利	500-999
20162595	500.00	591.20	盈利	500-999
57282084	500.00	-154.40	虧損	500-999
74251446	500.00	332.88	盈利	500-999
23296364	500.00	-393.45	虧損	500-999
71304545	500.00	758.60	盈利	500-999
23335222	500.00	-4885.60	虧損	500-999
18883241	500.00	215.00	盈利	500-999
56204850	500.00	572.00	盈利	500-999
89493902	500.00	-263.10	虧損	500-999
32433802	500.00	-19.00	虧損	500-999
80361044	500.00	591.76	盈利	500-999
20996812	500.00	-37.30	虧損	500-999
82199387	500.00	605.00	盈利	500-999
37053964	500.00	-542.55	虧損	500-999
96952369	500.00	591.70	盈利	500-999
31461503	500.00	592.00	盈利	500-999
24835288	500.00	-1075.60	虧損	500-999
79697253	500.00	-86.00	虧損	500-999
80070824	500.00	586.00	盈利	500-999
66022887	500.00	585.70	盈利	500-999
91252380	500.00	-1166.76	虧損	500-999
33706486	500.00	592.00	盈利	500-999
74035852	500.00	620.50	盈利	500-999
43269169	500.00	585.50	盈利	500-999
49510323	500.00	144.00	盈利	500-999
21585725	500.00	-642.85	虧損	500-999
36675022	500.00	585.60	盈利	500-999
73429367	500.00	284.65	盈利	500-999
44344270	500.00	557.60	盈利	500-999
56099296	500.00	607.28	盈利	500-999
81405521	500.00	610.80	盈利	500-999
66097792	500.00	620.69	盈利	500-999
76130642	500.00	407.10	盈利	500-999
23987490	400.00	156.50	盈利	0-499
82475798	400.00	121.80	盈利	0-499
16614287	400.00	915.88	盈利	0-499
73917665	400.00	468.77	盈利	0-499
19380787	400.00	579.03	盈利	0-499
50017424	400.00	154.00	盈利	0-499
93211195	356.00	718.24	盈利	0-499
98571644	302.00	-100.00	虧損	0-499
34656727	300.00	371.05	盈利	0-499
68017852	300.00	155.20	盈利	0-499
88986018	300.00	170.68	盈利	0-499
32113492	300.00	362.05	盈利	0-499
17019256	300.00	919.30	盈利	0-499
74414831	300.00	1008.19	盈利	0-499
54677949	300.00	708.40	盈利	0-499
72770753	300.00	-443.40	虧損	0-499
76977740	300.00	336.00	盈利	0-499
30251759	300.00	994.50	盈利	0-499
84619066	300.00	335.57	盈利	0-499
97649728	300.00	-109.80	虧損	0-499
95086739	300.00	427.60	盈利	0-499
73506368	300.00	465.00	盈利	0-499
50102467	300.00	498.42	盈利	0-499
21141927	300.00	404.00	盈利	0-499
28711893	300.00	686.20	盈利	0-499
61367134	300.00	760.40	盈利	0-499
13846745	300.00	573.40	盈利	0-499
28711893	300.00	686.20	盈利	0-499
65749787	300.00	462.00	盈利	0-499
92567866	300.00	-773.32	虧損	0-499
70727616	300.00	19.00	盈利	0-499
61367134	300.00	760.40	盈利	0-499
24953853	300.00	94.90	盈利	0-499
95089491	300.00	-524.57	虧損	0-499
80218019	300.00	386.24	盈利	0-499
63506084	300.00	-552.20	虧損	0-499
82945204	300.00	361.00	盈利	0-499
39378140	300.00	840.00	盈利	0-499
49255502	300.00	559.12	盈利	0-499
56656970	300.00	58.90	盈利	0-499
17118869	300.00	357.90	盈利	0-499
68216877	300.00	336.20	盈利	0-499
16194654	300.00	361.80	盈利	0-499
80984476	300.00	2462.80	盈利	0-499
88727695	300.00	-529.40	虧損	0-499
82565137	300.00	-69.88	虧損	0-499
20614323	300.00	-720.90	虧損	0-499
80017568	300.00	584.80	盈利	0-499
69796562	300.00	340.00	盈利	0-499
12822253	300.00	161.90	盈利	0-499
93536834	300.00	336.00	盈利	0-499
75104382	300.00	-576.05	虧損	0-499
86081851	300.00	-330.40	虧損	0-499
55194874	300.00	-258.55	虧損	0-499
14994028	300.00	115.80	盈利	0-499
29376334	300.00	-3826.21	虧損	0-499
23626851	300.00	-16.66	虧損	0-499
39988974	300.00	376.24	盈利	0-499
16396837	300.00	368.20	盈利	0-499
21470962	300.00	-3985.00	虧損	0-499
47082930	300.00	361.35	盈利	0-499
58077333	300.00	361.52	盈利	0-499
40913945	300.00	382.25	盈利	0-499
65964522	300.00	603.96	盈利	0-499
19658092	300.00	377.72	盈利	0-499
12873051	300.00	377.70	盈利	0-499
37846984	300.00	-338.30	虧損	0-499
55549408	300.00	453.00	盈利	0-499
54677949	300.00	708.40	盈利	0-499
22146666	300.00	-677.80	虧損	0-499
40370742	300.00	1866.60	盈利	0-499
16671442	300.00	507.60	盈利	0-499
42609594	300.00	373.80	盈利	0-499
10611151	300.00	341.60	盈利	0-499
65591894	300.00	426.34	盈利	0-499
84760015	300.00	1051.40	盈利	0-499
79225673	300.00	-237.42	虧損	0-499
85308627	300.00	-21.15	虧損	0-499
48663232	300.00	477.90	盈利	0-499
10745798	300.00	446.80	盈利	0-499
44479349	300.00	472.92	盈利	0-499
85475491	300.00	350.00	盈利	0-499
58788858	300.00	962.40	盈利	0-499
58434104	300.00	-30.00	虧損	0-499
59785708	300.00	-84.78	虧損	0-499
60375232	300.00	361.11	盈利	0-499
59227263	300.00	362.00	盈利	0-499
53232265	300.00	-266.00	虧損	0-499
58117484	300.00	-579.36	虧損	0-499
98324843	300.00	-572.10	虧損	0-499
61005483	300.00	66.20	盈利	0-499
14750264	300.00	403.96	盈利	0-499
30220324	300.00	449.72	盈利	0-499
39988974	300.00	376.24	盈利	0-499
58001926	300.00	420.76	盈利	0-499
84399449	300.00	341.30	盈利	0-499
24848974	300.00	809.00	盈利	0-499
77783614	300.00	354.70	盈利	0-499
24848974	300.00	809.00	盈利	0-499
26625880	300.00	384.00	盈利	0-499
30541456	300.00	355.95	盈利	0-499
13161600	300.00	46.62	盈利	0-499
34141312	300.00	-139.20	虧損	0-499
10082641	300.00	358.84	盈利	0-499
66994190	300.00	266.88	盈利	0-499
67662284	300.00	464.20	盈利	0-499
39179901	300.00	-1984.00	虧損	0-499
37086326	300.00	945.20	盈利	0-499
70461545	300.00	1767.70	盈利	0-499
89493902	300.00	-263.10	虧損	0-499
31072415	300.00	1014.95	盈利	0-499
43179465	300.00	2.75	盈利	0-499
12895626	300.00	118.60	盈利	0-499
20146109	300.00	361.53	盈利	0-499
57282084	300.00	-154.40	虧損	0-499
33894114	300.00	564.85	盈利	0-499
11560112	300.00	-22.12	虧損	0-499
19335668	300.00	-1455.15	虧損	0-499
95089491	300.00	-524.57	虧損	0-499
61465770	300.00	362.10	盈利	0-499
79175769	300.00	363.52	盈利	0-499
85910488	300.00	347.70	盈利	0-499
90241734	300.00	355.85	盈利	0-499
38563354	300.00	0.00	虧損	0-499
24848974	300.00	809.00	盈利	0-499
75238531	300.00	-631.60	虧損	0-499
40370742	300.00	1866.60	盈利	0-499
99613425	300.00	-135.00	虧損	0-499
74251446	300.00	332.88	盈利	0-499
31824678	300.00	373.30	盈利	0-499
84760015	300.00	1051.40	盈利	0-499
84760015	300.00	1051.40	盈利	0-499
48285248	300.00	-185.40	虧損	0-499
97142308	300.00	367.50	盈利	0-499
92732988	300.00	308.88	盈利	0-499
82204933	300.00	52.91	盈利	0-499
89876240	300.00	441.42	盈利	0-499
30220324	300.00	449.72	盈利	0-499
99118402	300.00	-25.80	虧損	0-499
66792347	300.00	41.00	盈利	0-499
76465828	280.00	426.00	盈利	0-499
84403327	254.00	377.95	盈利	0-499
38597305	250.00	-654.60	虧損	0-499
65964522	249.00	603.96	盈利	0-499
97386971	210.00	-190.32	虧損	0-499
30277848	205.00	0.00	虧損	0-499
12424496	204.00	225.00	盈利	0-499
38208246	200.00	211.30	盈利	0-499
70256795	200.00	-309.18	虧損	0-499
23902665	200.00	225.30	盈利	0-499
50959376	200.00	216.40	盈利	0-499
64105904	200.00	262.20	盈利	0-499
65677670	200.00	403.80	盈利	0-499
22870385	200.00	227.18	盈利	0-499
23413148	200.00	301.18	盈利	0-499
20470768	200.00	258.85	盈利	0-499
95718638	200.00	331.55	盈利	0-499
97670565	200.00	218.80	盈利	0-499
72917020	200.00	261.72	盈利	0-499
