player_id	daily_recharge	daily_withdraw	net_loss	loss_percentage	offer_tier
74362047	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
81801350	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
11946768	3950.00	0.00	3950.00	100.00	3500+ (35% cashback)
21235213	3800.00	0.00	3800.00	100.00	3500+ (35% cashback)
36647601	3600.00	0.00	3600.00	100.00	3500+ (35% cashback)
72628381	3600.00	0.00	3600.00	100.00	3500+ (35% cashback)
39913309	3500.00	0.00	3500.00	100.00	3500+ (35% cashback)
80961852	3500.00	0.00	3500.00	100.00	3500+ (35% cashback)
58670358	3400.00	0.00	3400.00	100.00	2000-3499 (30% cashback)
14184231	3300.00	0.00	3300.00	100.00	2000-3499 (30% cashback)
99357746	3300.00	0.00	3300.00	100.00	2000-3499 (30% cashback)
17356807	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
19022170	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
19085249	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
19149123	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
36045213	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
36610672	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
49545598	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
64021306	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
64831880	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
66155896	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
66885063	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
72352042	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
73803793	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
74297556	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
75667627	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
92715471	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
93521647	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
96008130	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
96531413	3000.00	0.00	3000.00	100.00	2000-3499 (30% cashback)
47781537	2890.00	0.00	2890.00	100.00	2000-3499 (30% cashback)
26217205	2880.00	0.00	2880.00	100.00	2000-3499 (30% cashback)
11287442	2800.00	0.00	2800.00	100.00	2000-3499 (30% cashback)
25892122	2800.00	0.00	2800.00	100.00	2000-3499 (30% cashback)
54799973	2800.00	0.00	2800.00	100.00	2000-3499 (30% cashback)
19886298	2700.00	0.00	2700.00	100.00	2000-3499 (30% cashback)
23468670	2600.00	0.00	2600.00	100.00	2000-3499 (30% cashback)
13396235	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
19162878	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
20261942	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
24188677	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
26069079	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
29755667	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
54813213	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
62655086	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
64921335	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
69903883	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
74431738	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
89096438	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
96667114	2500.00	0.00	2500.00	100.00	2000-3499 (30% cashback)
26299853	2400.00	0.00	2400.00	100.00	2000-3499 (30% cashback)
34885734	2400.00	0.00	2400.00	100.00	2000-3499 (30% cashback)
74732784	2400.00	0.00	2400.00	100.00	2000-3499 (30% cashback)
95751210	2400.00	0.00	2400.00	100.00	2000-3499 (30% cashback)
35924698	2300.00	0.00	2300.00	100.00	2000-3499 (30% cashback)
42854996	2300.00	0.00	2300.00	100.00	2000-3499 (30% cashback)
15111769	2200.00	0.00	2200.00	100.00	2000-3499 (30% cashback)
51921041	2200.00	0.00	2200.00	100.00	2000-3499 (30% cashback)
61992884	2150.00	0.00	2150.00	100.00	2000-3499 (30% cashback)
98787041	2100.00	0.00	2100.00	100.00	2000-3499 (30% cashback)
15530843	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
18733324	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
19780459	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
21855084	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
30309494	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
31251870	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
33583545	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
37341732	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
39455978	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
39583820	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
43505349	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
51443404	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
51659677	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
53877785	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
54660270	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
55732605	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
60213518	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
60720055	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
62058677	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
62115330	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
62442080	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
67580868	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
