player_id	daily_recharge	platform_profit	loss_percentage_raw	loss_percentage_after_bonus	offer_tier
66097792	500.00	620.69	124.14	104.56	500-1999 (25% cashback)
66286341	500.00	548.05	109.61	90.03	500-1999 (25% cashback)
66701402	500.00	652.00	130.40	110.82	500-1999 (25% cashback)
67979290	500.00	579.08	115.82	96.24	500-1999 (25% cashback)
68604115	500.00	556.40	111.28	91.70	500-1999 (25% cashback)
69822183	500.00	642.90	128.58	109.00	500-1999 (25% cashback)
71046342	500.00	771.70	154.34	134.76	500-1999 (25% cashback)
72009948	500.00	644.33	128.87	109.29	500-1999 (25% cashback)
72762719	500.00	634.14	126.83	107.25	500-1999 (25% cashback)
73259787	500.00	562.00	112.40	92.82	500-1999 (25% cashback)
73393246	500.00	560.60	112.12	92.54	500-1999 (25% cashback)
73755754	500.00	637.45	127.49	107.91	500-1999 (25% cashback)
74035852	500.00	620.50	124.10	104.52	500-1999 (25% cashback)
74078472	500.00	570.00	114.00	94.42	500-1999 (25% cashback)
75003504	500.00	563.79	112.76	93.18	500-1999 (25% cashback)
75166723	500.00	678.72	135.74	116.16	500-1999 (25% cashback)
75291980	500.00	3184.36	636.87	617.29	500-1999 (25% cashback)
75367697	500.00	590.00	118.00	98.42	500-1999 (25% cashback)
75750630	500.00	631.44	126.29	106.71	500-1999 (25% cashback)
76355776	500.00	632.02	126.40	106.82	500-1999 (25% cashback)
77315213	500.00	950.90	190.18	170.60	500-1999 (25% cashback)
77438524	500.00	564.75	112.95	93.37	500-1999 (25% cashback)
78496393	500.00	654.40	130.88	111.30	500-1999 (25% cashback)
78932210	500.00	564.80	112.96	93.38	500-1999 (25% cashback)
79310988	500.00	663.00	132.60	113.02	500-1999 (25% cashback)
79742143	500.00	705.30	141.06	121.48	500-1999 (25% cashback)
80056730	500.00	2445.50	489.10	469.52	500-1999 (25% cashback)
80335716	500.00	555.75	111.15	91.57	500-1999 (25% cashback)
80714755	500.00	675.00	135.00	115.42	500-1999 (25% cashback)
80731224	500.00	619.00	123.80	104.22	500-1999 (25% cashback)
81324205	500.00	740.96	148.19	128.61	500-1999 (25% cashback)
81532783	500.00	580.45	116.09	96.51	500-1999 (25% cashback)
82437875	500.00	657.14	131.43	111.85	500-1999 (25% cashback)
82845483	500.00	639.14	127.83	108.25	500-1999 (25% cashback)
84282877	500.00	641.36	128.27	108.69	500-1999 (25% cashback)
84463343	500.00	617.00	123.40	103.82	500-1999 (25% cashback)
84473612	500.00	567.10	113.42	93.84	500-1999 (25% cashback)
85077559	500.00	560.10	112.02	92.44	500-1999 (25% cashback)
85124302	500.00	553.44	110.69	91.11	500-1999 (25% cashback)
85950788	500.00	639.70	127.94	108.36	500-1999 (25% cashback)
86567947	500.00	554.04	110.81	91.23	500-1999 (25% cashback)
88004127	500.00	632.00	126.40	106.82	500-1999 (25% cashback)
88632310	500.00	562.49	112.50	92.92	500-1999 (25% cashback)
88816228	500.00	647.55	129.51	109.93	500-1999 (25% cashback)
88944703	500.00	582.00	116.40	96.82	500-1999 (25% cashback)
88979149	500.00	663.42	132.68	113.10	500-1999 (25% cashback)
89830760	500.00	603.40	120.68	101.10	500-1999 (25% cashback)
90107190	500.00	606.80	121.36	101.78	500-1999 (25% cashback)
90329667	500.00	658.50	131.70	112.12	500-1999 (25% cashback)
90970010	500.00	642.98	128.60	109.02	500-1999 (25% cashback)
92519280	500.00	579.84	115.97	96.39	500-1999 (25% cashback)
92545789	500.00	667.00	133.40	113.82	500-1999 (25% cashback)
93169909	500.00	661.45	132.29	112.71	500-1999 (25% cashback)
94301097	500.00	560.35	112.07	92.49	500-1999 (25% cashback)
94319969	500.00	711.00	142.20	122.62	500-1999 (25% cashback)
94397534	500.00	608.65	121.73	102.15	500-1999 (25% cashback)
95401271	500.00	594.21	118.84	99.26	500-1999 (25% cashback)
95661931	500.00	736.13	147.23	127.65	500-1999 (25% cashback)
95981983	500.00	834.35	166.87	147.29	500-1999 (25% cashback)
96821731	500.00	645.40	129.08	109.50	500-1999 (25% cashback)
96967952	500.00	658.28	131.66	112.08	500-1999 (25% cashback)
97232392	500.00	638.36	127.67	108.09	500-1999 (25% cashback)
97735650	500.00	574.70	114.94	95.36	500-1999 (25% cashback)
98111813	500.00	574.34	114.87	95.29	500-1999 (25% cashback)
98370732	500.00	554.24	110.85	91.27	500-1999 (25% cashback)
98858593	500.00	572.05	114.41	94.83	500-1999 (25% cashback)
15834421	490.00	1048.60	214.00	194.42	0-499 (20% cashback)
28659291	470.00	626.92	133.39	113.81	0-499 (20% cashback)
54623163	450.00	580.00	128.89	109.31	0-499 (20% cashback)
70189460	450.00	553.30	122.96	103.38	0-499 (20% cashback)
25652527	414.00	484.76	117.09	97.51	0-499 (20% cashback)
24425001	407.00	455.00	111.79	92.21	0-499 (20% cashback)
31617988	407.00	483.65	118.83	99.25	0-499 (20% cashback)
10745798	400.00	446.80	111.70	92.12	0-499 (20% cashback)
11782987	400.00	535.80	133.95	114.37	0-499 (20% cashback)
11829483	400.00	534.75	133.69	114.11	0-499 (20% cashback)
